20250710_190949 | Run: 20250710_185615 | Theory: Linear Signal Loss (γ=+0.75) | Loss_GR: 1.527e-01 | Loss_RN: 1.607e-01 | Summary:  | Dir: runs/20250710_185615/classical_predefined/promising/20250710_190831_Linear_Signal_Loss_γ_+0_75
20250710_193246 | Run: 20250710_193244 | Theory: Linear Signal Loss (γ=+0.75) | Loss_GR: 1.527e-01 | Loss_RN: 1.607e-01 | Summary:  | Dir: runs/20250710_193244/classical_predefined/promising/20250710_193246_Linear_Signal_Loss_γ_+0_75
20250710_193453 | Run: 20250710_193244 | Theory: Linear Signal Loss (γ=+1.00) | Loss_GR: 1.329e-01 | Loss_RN: 1.330e-01 | Summary:  | Dir: runs/20250710_193244/classical_predefined/promising/20250710_193246_Linear_Signal_Loss_γ_+1_00
20250710_193740 | Run: 20250710_193244 | Theory: Participatory (w=0.92) | Loss_GR: 3.021e-02 | Loss_RN: 1.842e-01 | Summary:  | Dir: runs/20250710_193244/classical_predefined/promising/20250710_193614_Participatory_w_0_92
20250710_194348 | Run: 20250710_193244 | Theory: Variable G (δ=-0.30) | Loss_GR: 2.856e+00 | Loss_RN: 1.321e-01 | Summary:  | Dir: runs/20250710_193244/classical_predefined/promising/20250710_194219_Variable_G_δ_-0_30
20250710_194520 | Run: 20250710_193244 | Theory: Variable G (δ=-0.20) | Loss_GR: 1.176e+00 | Loss_RN: 3.147e-03 | Summary:  | Dir: runs/20250710_193244/classical_predefined/promising/20250710_194348_Variable_G_δ_-0_20
20250710_194648 | Run: 20250710_193244 | Theory: Variable G (δ=-0.10) | Loss_GR: 1.966e-01 | Loss_RN: 8.308e-02 | Summary:  | Dir: runs/20250710_193244/classical_predefined/promising/20250710_194520_Variable_G_δ_-0_10
20250710_203421 | Run: 20250710_193244 | Theory: Log Corrected (β=+0.06) | Loss_GR: 3.269e-02 | Loss_RN: 1.809e-01 | Summary:  | Dir: runs/20250710_193244/quantum_predefined/promising/20250710_203249_Log_Corrected_β_+0_06
20250710_203554 | Run: 20250710_193244 | Theory: Log Corrected (β=+0.17) | Loss_GR: 6.250e-01 | Loss_RN: 1.212e-02 | Summary:  | Dir: runs/20250710_193244/quantum_predefined/promising/20250710_203421_Log_Corrected_β_+0_17
20250710_204852 | Run: 20250710_193244 | Theory: Quantum Corrected (α=+1.50) | Loss_GR: 5.696e-03 | Loss_RN: 2.308e-01 | Summary:  | Dir: runs/20250710_193244/quantum_predefined/promising/20250710_204726_Quantum_Corrected_α_+1_50
20250710_205017 | Run: 20250710_193244 | Theory: Quantum Corrected (α=+2.00) | Loss_GR: 1.029e-02 | Loss_RN: 2.183e-01 | Summary:  | Dir: runs/20250710_193244/quantum_predefined/promising/20250710_204852_Quantum_Corrected_α_+2_00
20250711_004553 | Run: 20250711_004551 | Theory: Linear Signal Loss (γ=+0.75) | Loss_GR: 1.527e-01 | Loss_RN: 1.607e-01 | Summary:  | Dir: runs/20250711_004551/classical_predefined/promising/20250711_004553_Linear_Signal_Loss_γ_+0_75
20250711_004554 | Run: 20250711_004551 | Theory: Linear Signal Loss (γ=+1.00) | Loss_GR: 1.329e-01 | Loss_RN: 1.330e-01 | Summary:  | Dir: runs/20250711_004551/classical_predefined/promising/20250711_004553_Linear_Signal_Loss_γ_+1_00
20250711_004554 | Run: 20250711_004551 | Theory: Participatory (w=0.92) | Loss_GR: 3.021e-02 | Loss_RN: 1.842e-01 | Summary:  | Dir: runs/20250711_004551/classical_predefined/promising/20250711_004554_Participatory_w_0_92
20250711_004556 | Run: 20250711_004551 | Theory: Variable G (δ=-0.30) | Loss_GR: 2.856e+00 | Loss_RN: 1.321e-01 | Summary:  | Dir: runs/20250711_004551/classical_predefined/promising/20250711_004555_Variable_G_δ_-0_30
20250711_004556 | Run: 20250711_004551 | Theory: Variable G (δ=-0.20) | Loss_GR: 1.176e+00 | Loss_RN: 3.147e-03 | Summary:  | Dir: runs/20250711_004551/classical_predefined/promising/20250711_004556_Variable_G_δ_-0_20
20250711_004556 | Run: 20250711_004551 | Theory: Variable G (δ=-0.10) | Loss_GR: 1.966e-01 | Loss_RN: 8.308e-02 | Summary:  | Dir: runs/20250711_004551/classical_predefined/promising/20250711_004556_Variable_G_δ_-0_10
20250711_004605 | Run: 20250711_004551 | Theory: Log Corrected (β=+0.06) | Loss_GR: 3.269e-02 | Loss_RN: 1.809e-01 | Summary:  | Dir: runs/20250711_004551/quantum_predefined/promising/20250711_004605_Log_Corrected_β_+0_06
20250711_004605 | Run: 20250711_004551 | Theory: Log Corrected (β=+0.17) | Loss_GR: 6.250e-01 | Loss_RN: 1.212e-02 | Summary:  | Dir: runs/20250711_004551/quantum_predefined/promising/20250711_004605_Log_Corrected_β_+0_17
20250711_004607 | Run: 20250711_004551 | Theory: Quantum Corrected (α=+1.50) | Loss_GR: 5.696e-03 | Loss_RN: 2.308e-01 | Summary:  | Dir: runs/20250711_004551/quantum_predefined/promising/20250711_004607_Quantum_Corrected_α_+1_50
20250711_004608 | Run: 20250711_004551 | Theory: Quantum Corrected (α=+2.00) | Loss_GR: 1.029e-02 | Loss_RN: 2.183e-01 | Summary:  | Dir: runs/20250711_004551/quantum_predefined/promising/20250711_004607_Quantum_Corrected_α_+2_00
20250711_004743 | Run: 20250711_004741 | Theory: Linear Signal Loss (γ=+0.75) | Loss_GR: 1.527e-01 | Loss_RN: 1.607e-01 | Summary:  | Dir: runs/20250711_004741/classical_predefined/promising/20250711_004742_Linear_Signal_Loss_γ_+0_75
